original_mol,orig_score,rationale,rationale_score,hit,round
CN1N=CC(=C(Cl)C1=O)N[C@H]1CCN(C1)c1c(cccc1F)F,0.119,,,0,val2_val3
C[C@@H]1CN(C[C@@H](O1)C(=O)N)c1ccc2c(ccnc2c1F)Cl,0.184,,,0,val2_val3
CN1N=CC(=C(Cl)C1=O)N1CCN(CC1)c1ncccc1F,0.178,Cn1nc[cH:1]c(Cl)c1=O,0.121,0,val2_val3
Clc1ccc(cc1Cl)CNc1nccc(n1)-c1ccc2c[nH]nc2c1,0.691,,,0,val2_val3
CO[C@H](CN(C)C(=O)c1cc(cc(c1)Cl)Cl)[C@@H](C)CN([C@H](C)CO)C(=O)Nc1ccc(cc1)F,0.446,,,0,val2_val3
Nc1nnc(s1)S[C@H]1CCN(C1=O)c1ccc(c(c1)F)Cl,0.548,,,0,val2_val3
Clc1ccc(cc1)Sc1cccc(c1Cn1cccc1)Cl,0.919,Clc1cccc([SH:1])c1[CH3:1],0.450,0,val2_val3
CCCCN1C=CC(=C(Cl)C1=O)N1CCC(CC1)c1ccccc1,0.205,O=c1c(Cl)[cH:1]ccn1[CH3:1],0.104,0,val2_val3
CC1=C([C@@H](NC(=S)N1)c1cccc(c1Cl)Cl)C(=O)N,0.308,,,0,val2_val3
Fc1cc(ccc1Cl)N1CC[C@@H](N2CCS(=O)(=O)CC2)C1=O,0.406,,,0,val2_val3
Clc1ccc(cc1Cl)CNc1ccnc(n1)-c1ccc2n[nH]cc2c1,0.636,,,0,val2_val3
CN1C=CN=C(N[C@H]2CCN(C2)c2ccc(cc2Cl)Cl)C1=O,0.198,,,0,val2_val3
CO[C@@H](CN(C)C(=O)c1cc(cc(c1)Cl)Cl)[C@@H](C)CN([C@@H](C)CO)C(=O)Nc1ccc(cc1)F,0.456,,,0,val2_val3
Clc1ccc(cc1Cl)CNc1nccc(n1)-c1ccc2n[nH]cc2c1,0.690,,,0,val2_val3
COc1ccc(cc1OC)CCNCc1cc(cc(c1OC)Cl)Cl,0.630,Clc1cc([CH3:1])c([OH:1])[cH:1]c1,0.142,0,val2_val3
Clc1ccc(cc1Cl)N1CC[C@@H](Sc2nnc[nH]2)C1=O,0.544,,,0,val2_val3
N[C@@H](Cc1cc(c(c(c1)Cl)OCc1cc(cc2nc(oc12)-c1ccccc1)N)Cl)C(=O)O,0.289,Clc1c[cH:1]cc(Cl)c1[OH:1],0.177,0,val2_val3
Cc1cccc(c1)NC(=O)c1cc(ccc1Cl)N1C(=O)C=CC1=O,0.267,,,0,val2_val3
Clc1ccc(c(c1)Cl)N1CC[C@@H](C1)NC(=O)c1cnns1,0.196,,,0,val2_val3
Fc1ccccc1C(=O)Nc1nc2c(c(ccc2s1)Cl)Cl,0.449,Clc1c2n[cH:1]sc2cc[cH:1]1,0.151,0,val2_val3
Cc1nccn1CCCCNC1CCN(CC1)c1ccc(cc1)Cl,0.823,,,0,val2_val3
Clc1ccc(cc1Cl)CNc1nccc(n1)-c1ccc2c(c1)OCCO2,0.437,,,0,val2_val3
C[C@H]1CCCN(C1)C1=C(Cl)C(=O)N(C1=O)c1cc(cc(c1)Cl)Cl,0.136,,,0,val2_val3
Clc1ccc(c(c1)Cl)N1CC[C@@H](C1)NCc1cncnc1,0.343,,,0,val2_val3
Clc1ccc(cc1Cl)N1CC[C@@H](NC(=O)c2cocn2)C1=O,0.572,,,0,val2_val3
Nc1nccnc1C(=O)Nc1nnc(s1)SCc1ccc(cc1)Cl,0.203,O=[CH:1]Nc1nnc([SH:1])s1,0.589,0,val2_val3
Clc1ccc(c(c1)Cl)N1CC[C@@H](C1)NC1CCOCC1,0.302,,,0,val2_val3
Clc1ccc(cc1)C[n+]1cc(n2c1CCC2)-c1ccc(cc1)Cl,0.413,,,1,val2_val3
[O-][N+](=O)c1ccc(C[n+]2cc(-c3ccc(Cl)c(Cl)c3)n3CCCc23)cc1.Br,0.487,Br.O=[N+]([O-])c1cc[cH:1]cc1,0.305,1,val2_val3
Clc1ccc(cc1)-c1c[n+](Cc2ccc(Cl)cc2Cl)c2CCCn12.Br,0.544,,,1,val2_val3
Fc1ccc(cc1)-c1c[n+](Cc2ccc(Cl)c(Cl)c2)c2CCCn12.Cl,0.373,,,1,val2_val3
Cc1ccccc1C[n+]1cc(-c2ccc(Cl)c(Cl)c2)n2CCCc12.Cl,0.505,,,1,val2_val3
COc1ccc(c(c1)O)-c1n[nH]c(c1Oc1ccccc1)C,0.198,Oc1cc([OH:1])ccc1[CH3:1],0.179,1,val2_val3
Fc1ccc(cc1)Nc1nc(cs1)-c1ccccn1,0.029,,,1,val2_val3
Oc1ccc(c(c1)O)-c1n[nH]cc1Oc1ccccc1Br,0.405,,,1,val2_val3
CSc1cccc2sc(nc12)Nc1ccc(cc1)Cl,0.732,c1cc([SH:1])c2n[cH:1]sc2c1,0.715,1,val2_val3
COc1ccc(cc1)-[n+]1c2n(cc1-c1ccc(cc1)Br)CCC2,0.035,,,1,val2_val3
COc1cccc(c1)Nc1nc2ccc(cc2s1)SC,0.047,,,0,val2_val3
CCCc1ccc(cc1)Oc1c[nH]nc1-c1ccc(cc1O)OC,0.308,,,0,val2_val3
Cc1ccc(cc1)C[n+]1cc(n2c1CCC2)-c1ccc(cc1)Cl,0.127,,,0,val2_val3
CCOc1ccc(c(c1)O)-c1n[nH]c(c1Oc1ccccc1)C,0.279,Oc1cc([OH:1])ccc1[CH3:1],0.179,0,val2_val3
Oc1ccc(cc1)Nc1nc(cs1)-c1ccc(cc1)Cl,0.327,Oc1ccc(N[CH3:1])cc1,0.159,0,val2_val3
COC(=O)c1ccc(cc1)Nc1nc(c(s1)C)-c1ccc(cc1)Br,0.015,,,0,val2_val3
Cc1ccc(cc1)-c1nc(sc1CC(=O)O)Nc1ccccc1F,0.061,,,0,val2_val3
CC(=O)c1ccc(cc1)Nc1nc(cs1)-c1ccccn1,0.028,,,0,val2_val3
COc1ccc(cc1)-c1nc(sc1CC(=O)O)Nc1ccc(cc1)C,0.088,,,0,val2_val3
COc1ccc(cc1OC)-c1csc(n1)Nc1cccc(c1)C(=O)O,0.083,,,0,val2_val3
C(c1ccccc1)[n+]1cc(-c2ccccc2)n2CCCc12.Cl,0.099,,,0,val2_val3
COc1ccccc1Nc1nc(c(s1)C)-c1ccc(cc1)Cl,0.040,,,0,val2_val3
Cc1cccc(c1)Nc1nc(cs1)-c1cccnc1,0.028,,,0,val2_val3
Cc1ccc(cc1NCc1cnn(c1)C=C)-c1nnc2n1CCCCC2,0.031,,,0,val2_val3
C(c1ccccc1)[n+]1cc(-c2ccccc2)n2CCCc12.Cl,0.099,,,0,val2_val3
COc1ccc2sc(nc2c1)Nc1ccccc1Cl,0.060,,,0,val2_val3
OC(=O)Cc1csc(n1)Nc1ccccc1,0.013,,,0,val2_val3
COc1ccccc1Nc1nc(c(s1)C)-c1ccccc1,0.013,,,0,val2_val3
COc1ccc(cc1)Nc1nc(cs1)CC(=O)O,0.016,,,0,val2_val3
COc1ccccc1Nc1nc(cs1)-c1ccc(cc1)Cl,0.055,,,0,val2_val3
Cc1ccccc1C[n+]1cc(-c2ccc(Cl)cc2)n2CCCc12.Cl,0.157,,,0,val2_val3
COc1ccccc1-c1ccc(cc1)C(=O)N(C)CCCc1nccn1C,0.051,,,0,val2_val3
Cc1cc(cc(c1-c1n[nH]c(c1Oc1ccccc1)C)O)O,0.397,Oc1cc(O)c([CH3:1])[cH:1]c1,0.179,0,val2_val3
OC(=O)c1cccc(c1)Nc1nc(cs1)-c1ccccn1,0.114,,,0,val2_val3
COC(=O)c1ccc(C[n+]2cc(-c3ccccc3)n3CCCc23)cc1.Br,0.019,,,0,val2_val3
COc1ccc(cc1)C(=O)C[n+]1cc(-c2ccc(OC)cc2)n2CCCc12.Br,0.025,,,0,val2_val3
"Cn1cc[n+]2C[C@@H](C(O)=O)[C@@](O)(c12)C(F)(F)F |&1:6,&2:10,r|",0.003,,,0,val2_val3
